18:23  @sansGato | oh u
18:24  @durendal | i didnt realize until a few days ago watching for like the 238472389472389th time that enzo was the PoW who's employer was petitioning vito at connies wedding to let  him stay and marry his daughter
18:24  @durendal | suddenly it owl clicked
18:25  @sansGato | well u want something rly crazy?
18:26  @durendal | im not sure i can handle dw1
18:26  @sansGato | mz casey turned owlt to be mark s.'s owlty's wife
18:26  @sansGato | !!!!!!!!
18:26  @sansGato | nowl that is crazy!
18:26  @durendal | you knowl i dont watch parks and rec
18:26  @sansGato | but do they watch you.
18:26          * | sansGato smirks
18:26  @durendal | owlso i thot his wife was ded and dats why he chowlmped owlff his brain for the bsns
18:27  @sansGato | yeah he thought so
18:27  @sansGato | but the whole time
18:27  @sansGato | they were keeping her locked up
18:27  @sansGato | it is nuts
18:27  @sansGato | the twists
18:27  @durendal | omd
18:27  @sansGato | yeah it a dope showl man
18:27  @sansGato | no holes to
18:27  @sansGato | even tho it gets
18:27  @sansGato | more and more
18:27  @sansGato | complex
18:27  @sansGato | lol
18:28  @sansGato | it starts off almost like silly, and then gets weird and silly, then gets dark and silly, THEN GETS ALL OWLT
18:28  @durendal | it gives me vibes owlf dat... whats dat... not a conspiracy theowlry but like... urban legend maybe? abowlt that area dats just owl like empty owlffice space forever and ever infinitely
18:28  @sansGato | MIND BLOWLING DICK TO WALL
18:28  @sansGato | COMPLEX
18:28  @sansGato | oh corner office?
18:28  @sansGato | that moobie?
18:28  @sansGato | or u mean dw1's brain
18:28          * | sansGato hits drums
18:28  @durendal | -dav explain the backrooms urban legend
18:29  @sansGato | oh right
18:29       +dav | The Backrooms is an urban legend that originated on the internet, known for its eerie and unsettling atmosphere. The premise involves the idea of an endless maze of yellow, damp rooms that one can "noclip" into—essentially slipping out of reality or entering an alternate dimension. Here's a brief overview:
18:29  @durendal | seems brunk
18:29       +dav | 1. Noclip: This term comes from gaming, where it refers to passing through solid objects. In the context of the Backrooms, it means inadvertently walking out of bounds in the real world and finding oneself in the Backrooms.
18:29       +dav | 2. Description: The Backrooms are often depicted as sterile, yellow-tinted rooms with musty carpet and buzzing fluorescent lights. The monotonous layout features endless hallways and rooms that seem to go on forever.
18:29       +dav | 3. Entity Encounters: In many stories and interpretations, people who find themselves in the Backrooms encounter hostile entities or creatures that inhabit this space, adding to the horror and sense of danger.
18:29       +dav | 4. Isolation and No Escape: The backrooms create a feeling of isolation, often described as a never-ending maze with no way out, leading to feelings of despair and madness.
18:29       +dav | 5. Cultural Impact: This phenomenon has inspired various media, including memes, videos, and games, reflecting its popularity as a modern urban legend.
18:29       +dav | Overall, the Backrooms tap into fears of isolation, the uncanny, and the unknown, making it a captivating entry in the world of internet folklore.
18:29  @sansGato | leminowl spaces
18:29  @sansGato | leminowl spaces
18:29  @sansGato | leminowl spaces
18:29  @sansGato | u mean
18:29  @sansGato | yeah
18:29  @sansGato | it does
18:29  @sansGato | esp later
18:29  @sansGato | on
18:29  @sansGato | lol
18:29  @sansGato | the hallways belowl the severed floor
18:29  @sansGato | are like a super white bright versiowl
18:29  @sansGato | of those
18:29  @sansGato | back rooms
18:30  @sansGato | tbh i have worked in those back rooms so much
18:30  @sansGato | idk if i understand
18:30  @sansGato | what is so creepy abowlt dem
18:30  @durendal | lol
18:30  @durendal | you must be dat entity dats owlways sneakin owlp on ppl
18:30  @sansGato | lol
18:30  @sansGato | lol no not in the shaddowls dude
18:31  @sansGato | like my first job being a lawyer i was placed on an empty floor
18:31  @sansGato | because they ran owlt
18:31  @sansGato | of cubicals
18:31  @sansGato | it was just
18:31  @sansGato | one of those
18:31  @sansGato | endless back rooms
18:31  @sansGato | with those mild lights
18:31  @sansGato | that flickered
18:31  @sansGato | and the rug was moldy
18:31  @sansGato | a lil bit
18:32  @sansGato | that job sucked ass
18:32  @sansGato | tho
18:32  @sansGato | not because of that
18:32  @sansGato | it was pd work
18:34  @sansGato | pd overflowl sucked so bad
18:34  @sansGato | man
18:34  @sansGato | but at least i was not a public defender
18:35  @sansGato | that would have rly sucked
18:35  @sansGato | but all said, i did not mind working alone dowln there
18:36  @sansGato | tbh i was glad they ran owlt of space
18:36  @sansGato | and put me in the endless back rooms
18:36  @sansGato | i could run arowl
18:36  @sansGato | and take my pants owlf and dance
18:36  @sansGato | they did give me a boom box
18:36  @sansGato | so
18:36  @sansGato | that was kind
18:37  @sansGato | that whole place got filled with boxes though
18:37  @sansGato | and then i quit
18:37  @sansGato | said fooooooooooooooooooooooook dis
18:38  @sansGato | they were so fucked up to
18:38  @sansGato | o
18:38  @sansGato | (+o)
18:38  @sansGato | because I gave a months notice to be nice
18:39  @sansGato | and because I even gave any type of resignation, I was not allowed to even finish up my cases lol
18:39  @sansGato | so they fucked the clients
18:39  @sansGato | and prob had them reassigned back to pd
18:39  @sansGato | while they sit in jail
18:41  @sansGato | well it was not exactly the way I just said
18:41  @sansGato | each one had to go before the judge and shit
18:41  @sansGato | but still
18:41  @sansGato | basically was that
18:41  @durendal | omd
18:41  @sansGato | the point is
18:41  @sansGato | those backrooms
18:41  @sansGato | aint so bad
18:41  @sansGato | pal
18:42  @sansGato | they are just a tad musty
18:42  @sansGato | well very musty
18:42  @sansGato | and have rat traps
18:42  @sansGato | my armod kicked in
18:42  @sansGato | right when you brought this owlp
18:42  @sansGato | so nowl
18:42  @sansGato | this has become
18:42  @sansGato | my focus
18:43  @sansGato | to
18:43  @sansGato | elaborate on it
18:43  @sansGato | if you head will
18:43  @durendal | lol
18:44  @sansGato | I had such stupid cases back then lol
18:45  @sansGato | I was like wowl i get to find owlt what it will be like to represent a client in court
18:45  @sansGato | first hearing. dismissed.
18:45  @sansGato | next hearing. dismissed.
18:45  @sansGato | withowlt my doing btw
18:45  @sansGato | like the cases were so stupid
18:45  @sansGato | they were not even worth it
18:45  @sansGato | to the prosecution half the time
18:46  @sansGato | these were state level cases. Only time and basically last time I practiced state (except for a few contract cases after)
18:53  @sansGato | My first trial ever (if I remember right) the judge had a death in her family or some shit, and kept stopping stuff lol. I ended up filing a motion for recusowl, but the jury saw her crying, and saying things that made it sound like it was pertaining to the actual case. in the end it became a mistrial. so a win in the worst way possibru.
18:53  @sansGato | that was my introductiowl
18:53  @sansGato | into the world of trials
18:53  @sansGato | state was so easy
18:53  @sansGato | lol
18:53  @sansGato | u could never pull that off in fed
18:53  @durendal | lol
18:53  @durendal | dats why women shouldnt be judges
18:53  @sansGato | im serious
18:53  @sansGato | it rly is
18:53  @sansGato | they sometimes
18:53  @sansGato | loose their shit because of pms
18:53  @sansGato | lose*
18:54  @sansGato | and loose tbh
18:54  @sansGato | (tampon)
18:54  @durendal | loose stools can be a real prowlblem
18:54  @sansGato | yes
18:54  @sansGato | and then some
18:54  @sansGato | but in state
18:54  @sansGato | it works
18:54  @sansGato | to my benefit
18:54  @sansGato | :D
18:57  @sansGato | the next trial sucked too, but I won on accident after thinking I fucked up the clients case. It motioned for dismissal by the prosecution lol
